	GSM954790	GSM954791	GSM954792	GSM954793	GSM954794	GSM954795	GSM954796	GSM954797	GSM954798	GSM954799	GSM954800	GSM954801	GSM954802	GSM954803	GSM954804	GSM954805	GSM954806	GSM954807	GSM954808	GSM954809	GSM954810	GSM954811	GSM954812	GSM954813	GSM954814	GSM954815	GSM954816	GSM954817	GSM954818	GSM954819	GSM954820	GSM954821	GSM954822	GSM954823	GSM954824	GSM954825	GSM954826	GSM530667	GSM530899	GSM531283	GSM531284	GSM531285	GSM531286	GSM531287	GSM531288	GSM531289	GSM531290	GSM531291	GSM531292	GSM531293	GSM531294	GSM531295	GSM531296	GSM531297	GSM531298	GSM531299	GSM531300	GSM531301	GSM531302	GSM531303	GSM531304	GSM531305	GSM531306	GSM531307	GSM531308	GSM531309	GSM531310	GSM531311	GSM531312	GSM531313	GSM531314	GSM531319	GSM531320	GSM531321	GSM531322	GSM531323	GSM531324	GSM531325	GSM531326	GSM531327	GSM531328	GSM531329	GSM531330	GSM531331	GSM531332	GSM531333	GSM531334	GSM531335	GSM531351	GSM531352
B cells naive	0	0.000369618	0.008062944	0	0	0	0	0	0.015548111	0	0	0	0	0.026476425	0	0	0	0	0	0	0.040725755	0	0.067990611	0	0	0	0	0.033303511	0.011478017	0	0	0	0	0.016730954	0	0	0.031908933	0	0	0	0	0	0.04178676	0	0.01431699	0.003907043	0.033342388	0.006084374	0	0	0.006734096	0	0	0	0.052957486	0.007122591	0	0.011182015	0	0	0	0	0	0	0	0	0.010273917	0	0.015633955	0	0.024718625	0.00133669	0	0.004114425	0.010729565	0	0	0	0	0.003640305	0	0.056000469	0	0.009976012	0	0	0	0.002387393	0.013217323	0.006976947
B cells memory	0.11232551	0	0	0.061495322	0.098745571	0.041129378	0.158822326	0.160913991	0	0.165764691	0.151480258	0	0.035165969	0.094561935	0.034074167	0.075978551	0.085169114	0.123858054	0.160566468	0.196334848	0.003231747	0.014976975	0	0.032919816	0.063431686	0.049660683	0.18183156	0	0	0.039654476	0.102816429	0.20973989	0	0	0.059696181	0.055906164	0	0.008274972	0	0	0.011415484	0.003397387	0	0.024535255	0.005431092	0	0	0	0	0	0	0.015780624	0	0.019215347	0	0	0	0	0.013089563	0.010974889	0	0.009323443	0.008328684	0.022804986	0.003556283	0.015614358	0.009811214	0	0	0	0	0	0.033438945	0	0	0.030773579	0.00945159	0.00532097	0.016626279	0	0.026264622	0	0.026791956	0.01191957	0.023005912	0.015976468	0.022136494	0	0	0.003090155
Plasma cells	0.004837256	0	0	0	0	0.090178261	0.191741033	0.067776985	0	0	0.118632045	0	0.003500493	0	0	0	0	0	0	0.036267304	0.192813798	0	0	0	0	0.019036108	0	0.005414198	0.027269891	0.111685009	0	0	0.017770766	0	0	0	0	0	0.056256841	0.013368035	0.002009543	0.028479495	0.040149604	0	0	0.012110568	0.01760541	0	0.101884158	0	0	0	0.00274593	0	0.198792416	0	0.008717548	0	0	0.0002123	0.004429304	0	0.005851687	0	0.001969001	0	0	0	0	0.191747531	0	0	0	0	0.018193626	0	0.003619502	0	0.062583112	0	0	0.07374946	0	0.03276573	0	0.002947245	0	0.004095728	0.014823724	0.02346721
T cells CD8	0.075513798	0	0.047129777	0.069394496	0.059921604	0	0	0.097857043	0	0	0.022571108	0.17769619	0.097868193	0.008553605	0.124539518	0.031893274	0.288832682	0.014771116	0.077381705	0.121318481	0.166155081	0.210097931	0	0	0.156286969	0	0.081483403	0.002832836	0	0.07776966	0.059578825	0.046455176	0.064587709	0	0.00416163	0.026252181	0	0	0	0	0	0	0	0	0.004881128	0	0	0.116555428	0	0	0	0.013354755	0	0	0	0	0	0	0.126368908	0.027686773	0.071991708	0.082296356	0	0.000938296	0.006132347	0.050596267	0.015084347	0	0.07910129	0.128504752	0	0.014954237	0	0.023307375	0	0	0.167782572	0	0	0	0	0	0	0.012565948	0.012482675	0.06911808	0.003954366	0.049703264	0	0
T cells CD4 naive	0	0.039856398	0.007719031	0	0	0.131212519	0	0	0.158080579	0	0	0	0.006548278	0	0	0	0	0.141691568	0.077231559	0	0	0	0	0.053822248	0	0.082453672	0	0.071019322	0.06104492	0.079755299	0	0	0	0.087795736	0.094733944	0.211557829	0.107501817	0	0	0.075606854	0.125793689	0	0	0	0	0.018896247	0.077479888	0	0	0	0	0	0	0	0.021923693	0	0.019254856	0.007929598	0	0	0	0	0	0	0.064329618	0	0	0	0	0	0.074533203	0.002339231	0	0	0	0	0	0	0.009149518	0.013268146	0	0.049336457	0.056984405	0	0	0	0	0	0	0.009300571
T cells CD4 memory resting	0	0	0	0	0.065706565	0	0.023381169	0	0	0.067962588	0.115757376	0	0	0.089560101	0	0	0	0.019573925	0	0.034104773	0.01518733	0	0.114559045	0	0	0	0	0	0	0	0	0.09321293	0	0	0	0	0	0	0.035431106	0.015263494	0	0	0.03526485	0	0	0	0.059895671	0	0.009329683	0.050460622	0.01499016	0.013341195	0.006892319	0	0.138400449	0	0	0	0	0	0	0	0	0.028678562	0	0	0	0	0	0	0	0.013412403	0	0.0357225	0.015204278	0	0	0	0.085931509	0.027172931	0.023264054	0.10540025	0	0	0	0	0	0.001001891	0.013115507	0
T cells CD4 memory activated	0.028776798	0	0.279842387	0.015715979	0	0.06227347	0.058410613	0.05371479	0	0	0	0	0.560867851	0.186774797	0.239629171	0.474557674	0.000393714	0.158479135	0	0	0	0	0.002527446	0.108520596	0	0.423955576	0.285317651	0.221356173	0.26750848	0.085396402	0.395212605	0	0	0.143306302	0.261847521	0.149788551	0	0	0	0.016762952	0	0	0.002202654	0	0	0.000449999	0	0.033520776	0	0.007177826	0	0.006412261	0	0	0	0	0.003553036	0	0	0.013644918	0.011017605	0	0	0	0.028701444	0.006632251	0	0.009528772	0.033172744	0.005031766	0	0.001019468	0.007397102	0	0	0.002996167	0.020392889	0	0	0.008095088	0.023272684	0.027698369	0	0.007299179	0	0	0	0	0.007151703	0.001698776
T cells follicular helper	0.164541389	0.150207836	0.026267097	0.024325871	0	0	0.082609292	0.092076896	0.097829758	0.187092297	0.039384988	0.084499366	0	0.075402183	0.065904211	0.056885673	0.061670934	0.004536703	0	0.00110423	0.15446569	0.307102685	0.122781279	0	0	0.020952495	0.06278922	0.006953738	0.025268146	0.046635725	0	0.034499176	0.129992803	0.02812205	0	0	0.025054505	0.029234861	0.000604959	0	0	0.027694234	0	0.026780801	0.036415593	0.004669015	0	0.032426197	0.009263124	0.014942636	0.040158943	0.027215722	0.037724127	0.054232544	0.093738727	0.015088063	0.019589108	0.039137812	0.097743933	0.043323014	0.00876955	0.0221753	0.018596584	0.008271965	0	0.032754956	0.052804629	0.044239803	0.01805308	0.042129087	0	0	0.018907874	0	0.018601081	0.043916934	0.085198769	0.052641341	0.036154641	0	0.015392531	0.011837299	0.010729503	0.015900188	0.076495767	0.061663448	0.037222965	0.013221849	0.007078526	0.02917588
T cells regulatory (Tregs)	0.016503914	0.006537568	0	0.040080742	0	0	0	0	0.061255178	0	0.07255081	0.025678824	0	0	0	0	0.056075319	0	0	0.097277476	0	0	0	0.015003404	0.148970693	0	0	0	0	0	0	0.220855894	0.104180251	0.013748549	0	0	0.144006923	0.031857763	0	0	0.012011942	0.018248802	0.007984114	0.029176226	0.024366606	0.02784773	0	0.011638873	0	0.026783406	0.018352186	0.000433452	0	0.000895101	0.024679293	0.068233701	0	0.016640546	0.043565614	0.01955679	0	0.048089478	0.022848393	0	0	0.013751837	0.048085558	0	0.0002324	0.029976496	0.010272082	0	0.032206695	0.003579683	0.019137519	0.014850276	0.041397424	0.028080075	0	0	0.0093576	0	0	0.043953886	0.003013565	0.025047616	0.036334514	0.059510145	0.027529113	0.006429042
T cells gamma delta	0.030325876	0.132071711	0.065795018	0	0	0.002745411	0.273662721	0.127096858	0.152309621	0	0	0.016310281	0.081664835	0	0	0.005366196	0	0.034429733	0.073717771	0	0	0	0	0.048664323	0	0.024184138	0	0	0.024457077	0.056885995	0	0	0.019813152	0.031329467	0.087567806	0.045543358	0.265314247	0.049722668	0	0.091658909	0.123111447	0.042602942	0.065790346	0.060945505	0.075960886	0.10400794	0.070337705	0.077340102	0.085545994	0.060897437	0.055076519	0.100185024	0.036659475	0.058529284	0	0.088661461	0.055459031	0.077162478	0.050784102	0.100794274	0.189872216	0.108518121	0.091864286	0.057931044	0.055008502	0.142591814	0.135215835	0.053446909	0.141073868	0.117503477	0.081233831	0.050887207	0.05655861	0.03344114	0.098776978	0.050257018	0.196014055	0.113154596	0.031880204	0.015173056	0.02833213	0	0.076369337	0.060321038	0.083573565	0.091439082	0.066430123	0	0.080359392	0.078820988
