	GSM954790	GSM954791	GSM954792	GSM954793	GSM954794	GSM954795	GSM954796	GSM954797	GSM954798	GSM954799	GSM954800	GSM954801	GSM954802	GSM954803	GSM954804	GSM954805	GSM954806	GSM954807	GSM954808	GSM954809	GSM954810	GSM954811	GSM954812	GSM954813	GSM954814	GSM954815	GSM954816	GSM954817	GSM954818	GSM954819	GSM954820	GSM954821	GSM954822	GSM954823	GSM954824	GSM954825	GSM954826	GSM530667	GSM530899	GSM531283	GSM531284	GSM531285	GSM531286	GSM531287	GSM531288	GSM531289	GSM531290	GSM531291	GSM531292	GSM531293	GSM531294	GSM531295	GSM531296	GSM531297	GSM531298	GSM531299	GSM531300	GSM531301	GSM531302	GSM531303	GSM531304	GSM531305	GSM531306	GSM531307	GSM531308	GSM531309	GSM531310	GSM531311	GSM531312	GSM531313	GSM531314	GSM531319	GSM531320	GSM531321	GSM531322	GSM531323	GSM531324	GSM531325	GSM531326	GSM531327	GSM531328	GSM531329	GSM531330	GSM531331	GSM531332	GSM531333	GSM531334	GSM531335	GSM531351	GSM531352
Activated B cell	0.379400238	0.444650239	0.495145597	0.999061571	0.588567856	0.543216852	0.901010366	0.772478691	0.26195383	0.629704113	0.670603127	0.417723072	1	0.473089568	0.344113352	0.663327306	0.559252507	0.640947414	1	1	0.228079884	0.640110581	0.722492289	0.322214904	0.937687637	1	0.638501698	0.459785951	0.744285149	0.419812434	0.658734358	0.975806985	0.333112151	0.590282821	0.31628179	0.321431262	0.899305027	0.327105763	0.138307856	0.34468022	0.208015891	0.30475262	0.237932858	0.344437346	0.459847517	0.154705991	0.135464115	0.554514486	0.328537238	0.312998252	0.298678638	0.359791332	0.399261174	0.324379351	0.259926453	0.275010797	0.379175145	0.286380314	0.780004128	0.557947747	0.328897827	0.536473465	0.369217731	0.389606492	0.423197005	0.713359847	0.563373613	0.202283704	0.269466867	1	0.586930283	0.325676382	0.438473731	0.494786206	0.44149928	0.51383967	0.664685388	0.333973235	0.546252392	0.16523663	0.506557252	0.321299458	0.422424671	0.432405811	0.547213081	0.497760113	0.383830125	0.405136271	0.306613112	0.306859932
Activated CD4 T cell	0.401930778	0.115750704	0.325578811	0.391129759	0.391254324	0.133050613	0.5996886	0.682176641	0.405707096	0.477132896	0.855227832	0.571318683	0	0.645714935	0	0.500888291	0.615534989	0.654509826	0.438917412	0.639712494	0.6012728	0.41390634	0.819808266	0.605855899	0.322856918	0	0.323590921	0.370760129	0.277256386	0.458497481	0	0.39211986	0.317356019	0.377302771	0.596486747	0.576214108	0.975419973	0.516031417	0.403313391	0.358782641	0.421380537	0.554034311	0.100650949	0.320590306	0.632584964	0.131264019	0.504092769	0.864625866	0.353673543	0.530349155	0.460307454	0.36321986	0.595133148	0.380358841	0	0.03978193	0.301185074	0.238707309	0.878528058	0.989038656	0.742583501	0.600022556	0.736673211	0.737963491	0.703715987	0.771296812	0.850939873	0.623612589	0.414083291	1	0.703899793	0.544705739	0.453509992	0.678368865	0.579080236	0.635989619	0.781877973	0.560920344	0.715266197	0.491009213	0.787544803	0.20001132	0.703438437	0.149566975	0.712082945	0.697849484	0.450566455	0.825073044	0.639988646	0.581613498
Activated CD8 T cell	0.430855215	0.582080499	0.348864775	0.46317132	0.630515068	0.395293915	0.534376385	0.385790373	0.163535172	0.326568814	0.53763652	0.426154177	0.351853619	0.478899877	0.269236283	0.273648917	0.556066793	0.577528971	0.355436979	0.182229876	0.10491507	0.495922995	0.397988155	0.030672618	0.593496576	0.303456851	0.290052464	0.266576879	0.419715183	0.353409699	0.007944803	0.35926575	0.25593179	0.336678317	0.262925045	0.513334245	0.556664585	0.441729708	0.117769698	0.230811629	0.466913059	0.551809533	0.188985787	0.526152053	0.642123525	0.411905125	0.207705205	0.917864578	0.571889742	0.512514713	0.434373139	0.487931828	0.402910178	0.252815884	0.080176186	0.234350027	0.309454834	0.492117924	0.978776846	0.854610884	1	0.994628699	0.653072622	0.702131565	0.666473993	1	0.872810106	0.429725111	0.766994034	1	0.649605057	0.592002074	0.396719628	0.887519186	0.753389098	0.670909075	1	0.350113862	0.590722141	0.18299566	0.664947289	0.266385351	0.691502839	0.61129355	0.684905202	0.947081223	0.586965435	0.778710514	0.568817925	0.589995806
Activated dendritic cell	0.114077021	0.373546643	0.15414112	0.333407321	0.402525475	0.110070622	0.170952504	0.211391154	0.191620261	0.058878368	0.498789635	0.307034244	0.325530846	0.026547975	0.335608749	0.436394823	0.397842824	0.483691625	0.2816682	0.267551824	0	0.299258535	0.402059416	0.278991414	0.196691255	0.413443731	0	0.244778453	0.475654937	0.393478874	0.230175832	0.26870781	0.127756115	0.235600048	0.269831853	0.375322721	0.341952561	0.589140206	0.537525538	0.31074524	0.523889243	0.573607397	0.450047139	0.532420576	0.797053274	0.426123722	0.481844	0.719957354	0.675925966	0.607935571	0.63480039	0.433484684	0.70592159	0.583531103	0.348906749	0.494556149	0.663850287	0.456937067	0.890296329	0.85532337	0.866964706	0.878773978	0.664838698	0.772393812	0.641252287	0.938179881	0.668587894	0.579337393	0.597071426	0.811492323	0.721026487	0.653428277	0.682035644	1	0.595536458	0.699024237	0.756623881	0.560752216	0.754109279	0.511321329	0.740016748	0.417510049	0.839170553	0.583376659	0.808475842	0.903387826	0.712373805	1	0.728615956	0.671737286
CD56bright natural killer cell	0.30090892	0.763413584	0.369118795	0.373430118	0.457810127	0.411494582	0.406853125	0.019516538	0.566080069	0.393604211	0.107458779	0.161924719	0.671391116	0.164414993	0.378077041	0.428854907	0.288602682	0.420249122	0.096001346	0.045782268	0.014625355	0.743149414	0.368457631	0.121368604	0.60444072	0.652242508	0.426365748	0.600063275	0.45126894	0.19290592	0	0.107227427	0.073559326	0	0.523772418	0.465403653	0	0.742719938	0.581756879	0.544628973	0.736477504	0.807304902	0.285923964	0.56526185	0.545645724	0.523478182	0.347602913	0.531182237	0.787124045	0.682966282	0.47038644	0.64622254	0.688251077	0.796197927	0.975627583	0.27996995	0.276561939	0.574174133	0.692165906	0.55598708	0.350269438	0.839312154	0.645648853	0.793362415	0.586006607	0.829820781	0.706169741	0.660334174	0.524754683	0.664706633	0.546458738	0.653529172	0.478892641	0.878616399	0.661318852	0.510806621	0.892344045	0.742469782	0.638363822	0.493697604	0.523664666	0.461557129	0.792679727	0.523212617	0.640044955	0.88729134	0.631496861	0.704224769	0.6488246	0.646025035
CD56dim natural killer cell	0.923928541	0.787725958	0.77285997	0.745515247	1	0.715087883	0.934314087	0.98742082	0.463231967	0.976499049	0.941896715	0.5625067	0.822779822	0.773972227	0.854714994	0.396550209	0.782080038	0.514382366	0.777519909	0.663200597	0.225048855	0.932039197	1	0.685527689	1	0.881999093	0.828723779	0.506516803	0.921803021	0.642766164	0.63311837	0.406773927	0.803343418	0.648256589	0.671266752	0.600119237	0.723230216	0.417887013	0.333592829	0.329499149	0.385792152	0.316554246	0.419647299	0.256208614	0.444475726	0.40580411	0.214798981	0.358108325	0.402579607	0.309932872	0.286847362	0.338523267	0.314135494	0.340110265	0.277400537	0.441875678	0.420887584	0.28867067	0.394628704	0.333241108	0.460749109	0.289005779	0.326718986	0.240417293	0.355210377	0.281258369	0.362881678	0.382031752	0.304917972	0.348784922	0.396446885	0.383876399	0.322765164	0.327812645	0.306367525	0.364691176	0.459508127	0.476116958	0.144362342	0.111834398	0.237000667	0.21377015	0.276393426	0.251740533	0.29532598	0.311303734	0.250309339	0.225950355	0.360621159	0.255957488
Central memory CD4 T cell	0.161338716	0.31820839	0.475868425	0.167727454	0.046420525	0.346804712	0.044624193	0.270531525	0.454295248	0.188979514	0	0.387278397	0.470514088	0.148756607	0.532737329	0.508361969	0.07221838	0.433370636	0.189945153	0	0.595924458	0.092394004	0	0.452848333	0	0.413248947	0.332735502	0.263215424	0.500801804	0.49966823	0.171170269	0.238564851	0.536087481	0.14243548	0.386755077	0.440153641	0	0.75035635	0.763594978	0.628663677	0.791316513	0.617791479	0.69012358	0.770225998	0.788456192	0.637223153	0.680609509	0.578985869	0.631707228	0.698999931	0.653565827	0.640668622	0.743993305	0.745823183	0.521104367	0.635642256	0.658833889	0.467854683	0.488828475	0.7086478	0.489846428	0.567278185	0.56993467	0.848006208	0.736854388	0.672486697	0.631847224	0.72320953	0.680983673	0.688309776	0.623234563	0.70033284	0.592624878	0.781511812	0.72676054	0.623850446	0.650425023	0.668103847	0.653537955	0.618447739	0.773275831	0.578675639	0.607681006	0.62655146	0.655469268	0.71249333	0.618550714	0.760372984	0.724423827	0.668560949
Central memory CD8 T cell	0.490469554	0.645322532	0.45648189	0.533719943	0	0.486620456	0	0.684244181	0.365633919	0	0.078654457	0.674705475	0.273769328	0.601708306	0.441597416	0.579531236	0.145277111	0.546506468	0.294971956	0	0.190555795	0	0.460467138	0.600299609	0	0.241371488	0.481597968	0.454181404	0	0.608017816	0.232848685	0.290018082	0.443239884	0.373832787	0.685259319	0.544653966	0.36189672	0.663407234	0.449332285	0.461679139	0.613205976	0.602511034	0.477596544	0.662014912	0.574169999	0.501589462	0.400714736	0.461677728	0.488571369	0.600345927	0.574430834	0.478361507	0.656407843	0.614167298	0.281703735	0.499953552	0.537625665	0.562086132	0.667226431	0.623751618	0.614715983	0.688340776	0.630430666	0.781763935	0.7881041	0.741142955	0.753140549	0.760849356	0.458250325	0.744581145	0.759643346	0.643441271	0.811423455	0.779872627	0.689337604	0.704998083	0.669198547	0.582555482	0.75174364	0.438413619	0.804529925	0.241854554	0.687300851	0.625030621	0.728967291	0.557544676	0.6516815	0.731326143	0.809816847	0.652218204
Effector memeory CD4 T cell	0.654484535	0.343926859	0.237825169	0.486812004	0.847988819	0	0.308402651	0.267581957	0.13847463	0	0.896478082	0.302025705	0.691373312	0.308343752	0.313421072	0.170173124	0.603561464	0.158968329	0.182131446	0.260350796	0.080765256	0.505001838	0.913145344	0.415495393	0.81856648	0.558331191	0.327021269	0.189071203	0.429803093	0.091129711	0.39683477	0	0.223130442	0.411576382	0.023815241	0.376684461	0.200089569	0.399263048	0.397372361	0.493253884	0.734115908	0.442779989	0.456747077	0.740974496	0.781073216	0.399039033	0.552381551	0.906699608	0.687319993	0.479678713	0.478623737	0.63766303	0.679360663	0.913575223	0.64796396	0.619435464	0.492225073	0.683103756	0.766135675	0.58216774	0.660628608	0.658579099	0.461392506	0.78339547	0.569774886	0.705270917	0.477392728	0.622011429	0.361168884	0.801649182	0.594337584	0.699551746	0.649904448	0.694536658	0.503455003	0.709727931	0.507222748	0.493501828	0.716191137	0.530671319	0.872995432	0.530022363	0.899882484	0.494916513	0.858718786	0.522534629	0.500459184	0.516680826	0.54427933	0.53439102
Effector memeory CD8 T cell	0.492680108	0.736698193	0.591252147	0.757210471	0.73055526	0.455052223	0.612124022	0.298456491	0.645598495	0.505447666	0.632042874	0.586113196	0.694149796	0.525768397	0.564960344	0.537912333	1	0.940869473	1	0.403428439	0	0.518732378	0.541919632	0.443615271	0.547736384	0.678983019	0.195569158	0.371621655	0.628640773	0.611170363	0.352743022	0.08598003	0.503905063	0.202516118	1	0.37214414	0.567144527	0.464645744	0.229878732	0.022395941	0.459229079	0.40655998	0.331794361	0.526775067	0.659261562	0.224960506	0.272416566	0.518357248	0.490540062	0.487802798	0.159284769	0.384033639	0.499778279	0.383090704	0.203177662	0.207651272	0.030577421	0.250655286	0.814810664	0.615178092	0.77036101	0.982776698	0.33866251	0.728382123	0.193304625	0.81542727	0.577317895	0.36119993	0.415446068	0.78932164	0.597969839	0.489913894	0.571566441	1	0.584592132	0.661684832	0.730481685	0.494004174	0.592946895	0.342961605	0.549975759	0.021482369	0.51614303	0.213062073	0.514586907	0.726076569	0.386557204	0.565211512	0.432811624	0.283948547
